group1,group2,meandiff,p-adj,lower,upper,reject
26,46,0.1086,0.0046,0.0153,0.2019,True
26,47,-0.0227,1.0,-0.116,0.0706,False
26,48,-0.0875,0.1062,-0.1808,0.0058,False
27,28,0.018,1.0,-0.0753,0.1113,False
27,29,-0.1055,0.0077,-0.1988,-0.0123,True
27,30,-0.033,1.0,-0.1263,0.0603,False
27,31,-0.0411,0.9994,-0.1344,0.0522,False
27,32,-0.4424,0.0,-0.5357,-0.3491,True
27,33,-0.0886,0.0929,-0.1819,0.0047,False
27,34,0.0086,1.0,-0.0847,0.1019,False
27,35,-0.156,0.0,-0.2493,-0.0627,True
27,36,-0.0294,1.0,-0.1227,0.0639,False
27,37,0.0139,1.0,-0.0794,0.1072,False
27,38,-0.282,0.0,-0.3753,-0.1887,True
27,39,-0.0387,0.9998,-0.132,0.0546,False
27,40,0.017,1.0,-0.0763,0.1103,False
27,41,-0.1408,0.0,-0.234,-0.0475,True
27,42,-0.2158,0.0,-0.3091,-0.1226,True
27,43,0.0142,1.0,-0.0791,0.1075,False
27,44,-0.0867,0.1166,-0.18,0.0066,False
27,45,-0.1063,0.0069,-0.1995,-0.013,True
27,46,0.0124,1.0,-0.0809,0.1057,False
27,47,-0.1189,0.0007,-0.2122,-0.0256,True
27,48,-0.1837,0.0,-0.277,-0.0904,True
28,29,-0.1235,0.0003,-0.2168,-0.0302,True
28,30,-0.051,0.978,-0.1443,0.0423,False
28,31,-0.0591,0.8737,-0.1524,0.0342,False
28,32,-0.4604,0.0,-0.5537,-0.3671,True
28,33,-0.1066,0.0065,-0.1999,-0.0133,True
28,34,-0.0094,1.0,-0.1027,0.0839,False
28,35,-0.174,0.0,-0.2673,-0.0807,True
28,36,-0.0474,0.9927,-0.1407,0.0459,False
28,37,-0.004,1.0,-0.0973,0.0892,False
28,38,-0.3,0.0,-0.3933,-0.2067,True
28,39,-0.0567,0.9179,-0.15,0.0366,False
28,40,-0.001,1.0,-0.0943,0.0923,False
28,41,-0.1587,0.0,-0.252,-0.0654,True
28,42,-0.2338,0.0,-0.3271,-0.1405,True
28,43,-0.0038,1.0,-0.097,0.0895,False
28,44,-0.1047,0.0089,-0.198,-0.0114,True
28,45,-0.1242,0.0002,-0.2175,-0.0309,True
28,46,-0.0056,1.0,-0.0989,0.0877,False
28,47,-0.1369,0.0,-0.2302,-0.0436,True
28,48,-0.2017,0.0,-0.295,-0.1084,True
29,30,0.0725,0.4629,-0.0208,0.1658,False
29,31,0.0644,0.7338,-0.0289,0.1577,False
29,32,-0.3368,0.0,-0.4301,-0.2435,True
29,33,0.017,1.0,-0.0763,0.1103,False
29,34,0.1141,0.0017,0.0208,0.2074,True
29,35,-0.0505,0.9811,-0.1437,0.0428,False
29,36,0.0761,0.3477,-0.0171,0.1694,False
29,37,0.1195,0.0006,0.0262,0.2128,True
29,38,-0.1765,0.0,-0.2698,-0.0832,True
29,39,0.0668,0.6566,-0.0265,0.1601,False
29,40,0.1225,0.0004,0.0292,0.2158,True
29,41,-0.0352,1.0,-0.1285,0.0581,False
29,42,-0.1103,0.0034,-0.2036,-0.017,True
29,43,0.1198,0.0006,0.0265,0.2131,True
29,44,0.0188,1.0,-0.0745,0.1121,False
29,45,-0.0007,1.0,-0.094,0.0926,False
29,46,0.1179,0.0008,0.0247,0.2112,True
29,47,-0.0133,1.0,-0.1066,0.08,False
29,48,-0.0781,0.2911,-0.1714,0.0151,False
30,31,-0.0081,1.0,-0.1014,0.0852,False
30,32,-0.4094,0.0,-0.5027,-0.3161,True
30,33,-0.0556,0.9347,-0.1488,0.0377,False
30,34,0.0416,0.9993,-0.0517,0.1349,False
30,35,-0.123,0.0003,-0.2163,-0.0297,True
30,36,0.0036,1.0,-0.0897,0.0969,False
30,37,0.047,0.9937,-0.0463,0.1403,False
30,38,-0.249,0.0,-0.3423,-0.1557,True
30,39,-0.0057,1.0,-0.099,0.0876,False
30,40,0.05,0.9835,-0.0433,0.1433,False
30,41,-0.1077,0.0053,-0.201,-0.0144,True
30,42,-0.1828,0.0,-0.2761,-0.0895,True
30,43,0.0473,0.993,-0.046,0.1405,False
30,44,-0.0537,0.9565,-0.147,0.0396,False
30,45,-0.0732,0.4395,-0.1665,0.0201,False
30,46,0.0454,0.9964,-0.0479,0.1387,False
30,47,-0.0859,0.1295,-0.1791,0.0074,False
30,48,-0.1507,0.0,-0.244,-0.0574,True
31,32,-0.4013,0.0,-0.4946,-0.308,True
31,33,-0.0475,0.9925,-0.1408,0.0458,False
31,34,0.0497,0.9848,-0.0436,0.143,False
31,35,-0.1149,0.0015,-0.2082,-0.0216,True
31,36,0.0117,1.0,-0.0816,0.105,False
31,37,0.0551,0.9413,-0.0382,0.1483,False
31,38,-0.2409,0.0,-0.3342,-0.1476,True
31,39,0.0024,1.0,-0.0909,0.0957,False
31,40,0.0581,0.894,-0.0352,0.1514,False
31,41,-0.0996,0.0198,-0.1929,-0.0064,True
31,42,-0.1747,0.0,-0.268,-0.0814,True
31,43,0.0553,0.9375,-0.0379,0.1486,False
31,44,-0.0456,0.9961,-0.1389,0.0477,False
31,45,-0.0651,0.7118,-0.1584,0.0282,False
31,46,0.0535,0.9585,-0.0398,0.1468,False
31,47,-0.0778,0.3015,-0.1711,0.0155,False
31,48,-0.1426,0.0,-0.2359,-0.0493,True
32,33,0.3538,0.0,0.2605,0.4471,True
32,34,0.451,0.0,0.3577,0.5443,True
32,35,0.2864,0.0,0.1931,0.3797,True
32,36,0.413,0.0,0.3197,0.5063,True
32,37,0.4563,0.0,0.363,0.5496,True
32,38,0.1604,0.0,0.0671,0.2537,True
32,39,0.4037,0.0,0.3104,0.497,True
32,40,0.4593,0.0,0.3661,0.5526,True
32,41,0.3016,0.0,0.2083,0.3949,True
32,42,0.2265,0.0,0.1333,0.3198,True
32,43,0.4566,0.0,0.3633,0.5499,True
32,44,0.3557,0.0,0.2624,0.4489,True
32,45,0.3361,0.0,0.2428,0.4294,True
32,46,0.4548,0.0,0.3615,0.5481,True
32,47,0.3235,0.0,0.2302,0.4168,True
32,48,0.2587,0.0,0.1654,0.352,True
33,34,0.0972,0.0287,0.0039,0.1905,True
33,35,-0.0674,0.6372,-0.1607,0.0259,False
33,36,0.0592,0.8718,-0.0341,0.1525,False
33,37,0.1025,0.0126,0.0092,0.1958,True
